Brand,Model,Year,Created On,Modified On
Audi,S4 Avant,2005,2013-01-01,2013-01-01
Audi,4000,1987,2013-01-01,2013-01-01
Audi,A3,2015,2014-03-04,2017-04-05
Audi,A4 quattro,2001,2013-01-01,2013-01-01
Audi,Q5,2013,2013-01-01,2016-09-26
Audi,A4 quattro,2003,2013-01-01,2013-01-01
Audi,A4 Avant quattro,2003,2013-01-01,2013-01-01
Audi,R8,2010,2013-01-01,2013-01-01
Audi,A6 quattro,2000,2013-01-01,2013-01-01
Audi,S6,2021,2020-05-12,2021-08-24
Audi,SQ8,2022,2021-07-06,2022-03-25
Audi,R8 Spyder,2011,2013-01-01,2016-09-26
Audi,5000 CS Turbo,1988,2013-01-01,2013-01-01
Audi,A3 quattro,2023,2022-06-10,2023-02-14
Audi,S4 Avant,2007,2013-01-01,2013-01-01
Audi,Q3 quattro,2024,2023-09-19,2024-01-18
Audi,S5,2017,2016-07-20,2017-04-05
Audi,Q5,2017,2016-07-20,2016-11-22
Audi,S5 Sportback,2022,2021-07-06,2022-03-25
Audi,A5 Sportback S-Line quattro,2023,2022-08-02,2022-10-13
Audi,TT Coupe quattro,2008,2013-01-01,2013-01-01
Audi,RS 6 Avant,2024,2023-09-19,2024-01-18
Audi,Coupe GT,1984,2013-01-01,2013-01-01
Audi,A4,2019,2018-12-18,2019-01-23
Audi,S4,2014,2013-01-01,2016-09-26
Audi,A4 quattro,2007,2013-01-01,2013-01-01
Audi,A4 Cabriolet quattro,2004,2013-01-01,2013-01-01
Audi,S5 Sportback,2023,2022-07-13,2023-02-14
Audi,A3,2012,2013-01-01,2016-09-26
Audi,A4 allroad quattro,2017,2016-08-17,2017-06-16
Audi,A4 quattro,2007,2013-01-01,2013-01-01
Audi,RS 5,2018,2017-09-27,2018-03-26
Audi,S4,2012,2013-01-01,2016-09-26
Audi,RS 3,2017,2017-07-13,2017-09-27
Audi,TT Coupe,2003,2013-01-01,2013-01-01
Audi,A6,1997,2013-01-01,2013-01-01
Audi,A5 Cabriolet quattro,2017,2016-07-13,2016-11-22
Audi,A4 quattro,2021,2020-10-19,2021-04-26
Audi,Q7,2023,2022-08-02,2023-02-14
Audi,A8 quattro,2002,2013-01-01,2013-01-01
Audi,S5,2010,2013-01-01,2013-01-01
Audi,Q8 Sportback e-tron ultra quattro,2024,2023-07-31,2024-01-18
Audi,Q5 Hybrid,2014,2013-01-01,2020-06-02
Audi,A6,1996,2013-01-01,2013-01-01
Audi,S5 Coupe,2022,2021-07-06,2022-03-25
Audi,Allroad quattro,2004,2013-01-01,2013-01-01
Audi,4000,1987,2013-01-01,2013-01-01
Audi,80,1990,2013-01-01,2013-01-01
Audi,A4 quattro,2022,2021-07-06,2022-01-12
Audi,e-tron S (21/22 inch wheels),2023,2023-05-17,2023-05-17
Audi,R8 Spyder,2014,2013-01-01,2016-09-26
Audi,RS3,2020,2019-11-12,2020-05-12
Audi,S4 Avant,2002,2013-01-01,2013-01-01
Audi,S4 Avant,2002,2013-01-01,2013-01-01
Audi,A6 quattro,2004,2013-01-01,2013-01-01
Audi,A8 quattro,2001,2013-01-01,2013-01-01
Audi,A4 allroad quattro,2020,2019-12-03,2020-04-14
Audi,TT RS,2020,2019-11-12,2020-05-12
Audi,A8 L,2019,2019-09-10,2019-09-10
Audi,5000 CS Turbo,1987,2013-01-01,2013-01-01
Audi,A8 L,2014,2013-01-01,2019-09-05
Audi,TT Roadster,2005,2013-01-01,2013-01-01
Audi,S4,2013,2013-01-01,2016-09-26
Audi,A6 quattro Wagon,1996,2013-01-01,2013-01-01
Audi,S5 Cabriolet,2021,2020-08-28,2021-04-26
Audi,A3,2010,2013-01-01,2017-07-26
Audi,R8 Spyder,2015,2014-06-16,2016-09-26
Audi,A4,2002,2013-01-01,2013-01-01
Audi,S5,2021,2020-08-28,2021-04-26
Audi,A4 allroad quattro,2022,2021-07-06,2022-03-25
Audi,R8 Spyder RWD,2023,2022-08-02,2023-02-14
Audi,Q7,2010,2013-01-01,2018-07-20
Audi,R8,2009,2013-01-01,2013-01-01
Audi,S5,2016,2015-06-24,2016-09-26
Audi,A8,1998,2013-01-01,2013-01-01
Audi,5000 S,1987,2013-01-01,2013-01-01
Audi,S4,2008,2013-01-01,2013-01-01
Audi,A3 quattro,2011,2013-01-01,2016-09-26
Audi,S3,2022,2021-07-26,2022-03-25
Audi,e-tron GT,2023,2022-10-20,2023-10-19
Audi,A5 quattro,2014,2013-01-01,2016-09-26
Audi,Q4 55 e-tron quattro,2024,2024-05-02,2024-05-02
Audi,Q5,2018,2017-03-10,2018-02-19
Audi,A3,2008,2013-01-01,2013-01-01
Audi,A3,2010,2013-01-01,2013-01-01
Audi,TT Roadster quattro,2011,2013-01-01,2016-09-26
Audi,5000 CS quattro Wagon,1987,2013-01-01,2013-01-01
Audi,Q5,2016,2015-06-24,2017-12-20
Audi,A3 quattro,2007,2013-01-01,2013-01-01
Audi,A4 quattro,2008,2013-01-01,2013-01-01
Audi,S5 Cabriolet,2024,2023-09-19,2024-01-18
Audi,Allroad quattro,2004,2013-01-01,2013-01-01
Audi,S5,2008,2013-01-01,2013-01-01
Audi,A4 Avant quattro,2007,2013-01-01,2013-01-01
Audi,S6,2007,2013-01-01,2013-01-01
Audi,Allroad quattro,2004,2013-01-01,2013-01-01
Audi,R8,2009,2013-01-01,2013-01-01
Audi,TT Coupe,2009,2013-01-01,2013-01-01
Audi,S5 Cabriolet,2011,2013-01-01,2016-09-26
Audi,A4 quattro,2007,2013-01-01,2013-01-01
Audi,A8 L,2021,2020-07-02,2021-01-12
Audi,5000 CS Turbo,1988,2013-01-01,2013-01-01
Audi,TT Coupe,2004,2013-01-01,2013-01-01
Audi,A4 Avant quattro,2005,2013-01-01,2013-01-01
Audi,Q8 Sportback e-tron quattro,2024,2023-11-06,2024-01-18
Audi,Allroad quattro,2005,2013-01-01,2013-01-01
Audi,TT Coupe quattro,2006,2013-01-01,2013-01-01
Audi,80 quattro,1992,2013-01-01,2013-01-01
Audi,A3,2008,2013-01-01,2013-01-01
Audi,A4 quattro,2018,2017-03-10,2017-06-12
Audi,R8 Spyder,2012,2013-01-01,2016-09-26
Audi,100 quattro Wagon,1994,2013-01-01,2013-01-01
Audi,A7 quattro,2024,2023-09-19,2024-01-18
Audi,Q3,2017,2016-07-27,2016-11-22
Audi,S4,2016,2015-06-24,2017-04-05
Audi,A6 quattro,2000,2013-01-01,2013-01-01
Audi,A4 quattro,2001,2013-01-01,2013-01-01
Audi,TT Roadster quattro,2005,2013-01-01,2013-01-01
Audi,A4 quattro,2006,2013-01-01,2013-01-01
Audi,S4 Cabriolet,2004,2013-01-01,2013-01-01
Audi,100,1991,2013-01-01,2013-01-01
Audi,90,1994,2013-01-01,2013-01-01
Audi,A5 quattro,2013,2013-01-01,2016-09-26
Audi,R8 Coupe quattro,2023,2022-08-02,2023-02-14
Audi,A6 quattro,2017,2016-07-13,2016-12-12
Audi,A4,2005,2013-01-01,2013-01-01
Audi,A4,2008,2013-01-01,2013-01-01
Audi,Q8 quattro,2022,2021-07-06,2022-01-12
Audi,S5,2017,2016-07-20,2016-09-16
Audi,A4 Avant quattro,2004,2013-01-01,2013-01-01
Audi,S4 Avant,2006,2013-01-01,2013-01-01
Audi,A6,1998,2013-01-01,2013-01-01
Audi,S5,2016,2015-06-24,2017-04-05
Audi,A8 L,2004,2013-01-01,2013-01-01
Audi,A4 quattro,2005,2013-01-01,2013-01-01
Audi,A8 L,2012,2013-01-01,2016-09-26
Audi,A8,2013,2013-01-01,2016-09-26
Audi,A4 quattro,2002,2013-01-01,2013-01-01
Audi,90,1994,2013-01-01,2013-01-01
Audi,A6,2004,2013-01-01,2013-01-01
Audi,S5,2009,2013-01-01,2013-01-01
Audi,A3,2017,2016-10-05,2017-04-05
Audi,R8 Spyder,2011,2013-01-01,2017-04-05
Audi,A4 Avant quattro,2008,2013-01-01,2013-01-01
Audi,S3,2019,2018-11-09,2019-02-26
Audi,A7 quattro,2014,2013-01-01,2017-12-20
Audi,TT RS,2018,2017-06-12,2018-02-19
Audi,e-tron S Sportback (20 inch wheels),2022,2021-11-02,2022-10-26
Audi,A7 quattro,2016,2015-01-14,2016-09-26
Audi,A4 quattro,2005,2013-01-01,2013-01-01
Audi,S5,2010,2013-01-01,2013-01-01
Audi,A3 Cabriolet quattro,2017,2016-09-16,2017-04-05
Audi,A4 quattro,2002,2013-01-01,2013-01-01
Audi,A4 quattro,1998,2013-01-01,2013-01-01
Audi,A4 Avant quattro,2001,2013-01-01,2013-01-01
Audi,SQ5,2022,2021-07-06,2021-11-23
Audi,A6 Avant quattro,2007,2013-01-01,2013-01-01
Audi,S7,2013,2013-01-01,2017-04-05
Audi,TT Coupe quattro,2018,2017-07-26,2019-03-13
Audi,A4 Cabriolet quattro,2005,2013-01-01,2013-01-01
Audi,A4,2000,2013-01-01,2013-01-01
Audi,A4 quattro,2016,2015-06-24,2016-09-26
Audi,SQ7,2021,2020-08-28,2021-04-26
Audi,A8 L,2009,2013-01-01,2013-01-01
Audi,R8,2011,2013-01-01,2016-09-26
Audi,A8 L,2000,2013-01-01,2013-01-01
Audi,TT Roadster quattro,2010,2013-01-01,2013-01-01
Audi,A4,1996,2013-01-01,2013-01-01
