Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross73 KWh FWD (210 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,154.5 kw (210 hp),,154.5 kw (210 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross73 KWh FWD (210 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,,,,,Front Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross73 KWh FWD (210 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,,,,,,,,,,183.1 in (4651 mm),74.9 in (1902 mm),,,109.6 in (2784 mm),23 cuFT (651 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross73 KWh FWD (210 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,,323.1 miles (520.0 km),73 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross97 KWh FWD (230 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,169.2 kw (230 hp),,169.2 kw (230 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross97 KWh FWD (230 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,,,,,Front Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross97 KWh FWD (230 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,,,,,,,,,,183.1 in (4651 mm),74.9 in (1902 mm),,,109.6 in (2784 mm),23 cuFT (651 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross97 KWh FWD (230 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,,422.5 miles (679.9 km),97 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross1.2L 6AT FWD (145 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,L3,,101.4 KW @ - RPM137.9 HP @ - RPM136 BHP @ - RPM,,Direct Injection,Hybrid Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,20.6 kw (28 hp),,106.6 kw (145 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross1.2L 6AT FWD (145 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,,,,,Front Wheel Drive,6-speed automatic eDCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITROEN,CITROEN C5 Aircross,"Citroen C5 Aircross Photos, engines & full specs",CITROEN C5 Aircross1.2L 6AT FWD (145 HP),https://www.autoevolution.com/cars/citroen-c5-aircross-2025.html,,,,,,,,,,,,,,183.1 in (4651 mm),74.9 in (1902 mm),,,109.6 in (2784 mm),23 cuFT (651 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
