Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaR/T 100.5 KWh AWD (496 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.8 kw (496 hp),404 lb-ft (548 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaR/T 100.5 KWh AWD (496 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,,,,,,,,,,,,4.9 s,,,,,,,,,,,,,,,,,,,,,,,,137 mph (220 km/h),,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaR/T 100.5 KWh AWD (496 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaR/T 100.5 KWh AWD (496 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaR/T 100.5 KWh AWD (496 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,,,,206.6 in (5248 mm),79.8 in (2027 mm),58.9 in (1496 mm),"68.7/69.1 in (1,745/1,755 mm)",121 in (3073 mm),22.7 cuFT (643 L),,,,,,,,,5.5 in (140 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaR/T 100.5 KWh AWD (496 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,,,,,,,,,,5838 lbs (2648 kg),,,,,,,,,6700 lbs (3039 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaR/T 100.5 KWh AWD (496 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,939 kWh,317 miles (510.2 km),100.5 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaSCAT PACK 100.5 KWh AWD (670 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.8 kw (670 hp),627 lb-ft (850 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaSCAT PACK 100.5 KWh AWD (670 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,,,,,,,,,,,,4.9 s,,,,,,,,,,,,,,,,,,,,,,,,137 mph (220 km/h),,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaSCAT PACK 100.5 KWh AWD (670 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaSCAT PACK 100.5 KWh AWD (670 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaSCAT PACK 100.5 KWh AWD (670 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,,,,206.6 in (5248 mm),79.8 in (2027 mm),58.9 in (1496 mm),"68.7/69.1 in (1,745/1,755 mm)",121 in (3073 mm),22.7 cuFT (643 L),,,,,,,,,5.6 in (142 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaSCAT PACK 100.5 KWh AWD (670 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,,,,,,,,,,5838 lbs (2648 kg),,,,,,,,,6950 lbs (3152 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2024 Dodge Charger Daytona Photos, engines & full specs",DODGE Charger DaytonaSCAT PACK 100.5 KWh AWD (670 HP),https://www.autoevolution.com/cars/dodge-charger-daytona-2024.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,939 kWh,260 miles (418.4 km),100.5 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT AWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,V6,3604 cm3,218 KW @ 6350 RPM296 HP @ 6350 RPM292 BHP @ 6350 RPM,260 lb-ft @ 4800 RPM353 Nm @ 4800 RPM,Direct injection,Gasoline,18.5 gallons (70.0 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT AWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,All Wheel Drive,8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT AWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,Ventilated discs,Ventilated disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT AWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,P235/55 R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT AWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,198.4 in (5039 mm),75 in (1905 mm),58.2 in (1478 mm),"63.4/63.8 in (1,610/1,621 mm)",120.2 in (3053 mm),,,,,0.3,,,,,4.9 in (124 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT AWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,,,,,,,4158 lbs (1886 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT AWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,,,,,,,,,,,,,18 mpg US (13.1 L/100Km),27 mpg US (8.7 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT RWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,V6,3604 cm3,218 KW @ 6350 RPM296 HP @ 6350 RPM292 BHP @ 6350 RPM,260 lb-ft @ 4800 RPM353 Nm @ 4800 RPM,Direct injection,Gasoline,18.5 gallons (70.0 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT RWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,Rear Wheel Drive,8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT RWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,Ventilated discs,Ventilated disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT RWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,P215/65 R17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT RWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,198.4 in (5039 mm),75 in (1905 mm),58.2 in (1478 mm),"63.4/63.8 in (1,610/1,621 mm)",120.2 in (3053 mm),15.4 cuFT (436 L),,,,0.3,,,,,4.9 in (124 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT RWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,,,,,,,3933 lbs (1784 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT RWD (296 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,,,,,,,,,,,,,19 mpg US (12.4 L/100Km),31 mpg US (7.6 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT RWD (375 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,V8,5654 cm3,276 KW @ 5250 RPM375 HP @ 5250 RPM370 BHP @ 5250 RPM,395 lb-ft @ 4200 RPM536 Nm @ 4200 RPM,Direct injection,Gasoline,18.5 gallons (70.0 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT RWD (375 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,Front Wheel Drive,8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT RWD (375 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,Ventilated discs,Ventilated disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT RWD (375 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,P245/45 R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT RWD (375 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,198.4 in (5039 mm),75 in (1905 mm),58.2 in (1478 mm),"63.4/63.8 in (1,610/1,621 mm)",120.2 in (3053 mm),,,,,0.3,,,,,4.9 in (124 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT RWD (375 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,,,,,,,4264 lbs (1934 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2015 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT RWD (375 HP),https://www.autoevolution.com/cars/dodge-charger-2015.html,,,,,,,,,,,,,,,,,,,,,,,,,,16 mpg US (14.7 L/100Km),25 mpg US (9.4 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 5AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,V6,3604 cm3,218 KW @ 6350 RPM296 HP @ 6350 RPM292 BHP @ 6350 RPM,260 lb-ft @ 4800 RPM353 Nm @ 4800 RPM,"Sequential, multi-port, electronic, returnless",Gasoline,19 gallons (71.9 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 5AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,Rear Wheel Drive,AUTOMATIC FIVE-SPEED OVERDRIVE WITH AUTO STICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 5AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,Ventilated Discs,Solid Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 5AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,199.9 in (5077 mm),75 in (1905 mm),58.3 in (1481 mm),"63.4/63.8 in (1,610/1,621 mm)",120.2 in (3053 mm),16.5 cuFT (467 L),,,,0.297,,,,,5 in (127 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 5AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,,,,,,,3960 lbs (1796 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 5AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,,,,,,,,,,,,,18 mpg US (13.1 L/100Km),27 mpg US (8.7 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,V6,3604 cm3,218 KW @ 6350 RPM296 HP @ 6350 RPM292 BHP @ 6350 RPM,260 lb-ft @ 4800 RPM353 Nm @ 4800 RPM,"Sequential, multi-port, electronic, returnless",Gasoline,19 gallons (71.9 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,Rear Wheel Drive,ZF 8HP45 AUTOMATIC EIGHT-SPEED WITH AUTO STICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,Ventilated Discs,Solid Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,199.9 in (5077 mm),75 in (1905 mm),58.3 in (1481 mm),"63.4/63.8 in (1,610/1,621 mm)",120.2 in (3053 mm),16.5 cuFT (467 L),,,,0.297,,,,,5 in (127 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,,,,,,,3997 lbs (1813 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,,,,,,,,,,,,,19 mpg US (12.4 L/100Km),31 mpg US (7.6 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 AWD 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,V6,3604 cm3,218 KW @ 6350 RPM296 HP @ 6350 RPM292 BHP @ 6350 RPM,260 lb-ft @ 4800 RPM353 Nm @ 4800 RPM,"Sequential, multi-port, electronic, returnless",Gasoline,19 gallons (71.9 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 AWD 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,All Wheel Drive,ZF 8HP45 AUTOMATIC EIGHT-SPEED WITH AUTO STICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 AWD 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,Ventilated Discs,Solid Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 AWD 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,199.9 in (5077 mm),75 in (1905 mm),58.3 in (1481 mm),"63.4/63.8 in (1,610/1,621 mm)",120.2 in (3053 mm),16.5 cuFT (467 L),,,,0.297,,,,,5 in (127 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 AWD 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,,,,,,,4151 lbs (1883 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger3.6L V6 AWD 8AT (296 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,,,,,,,,,,,,,,,,,,18 mpg US (13.1 L/100Km),27 mpg US (8.7 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT (375 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,V8,5654 cm3,276 KW @ 5250 RPM375 HP @ 5250 RPM370 BHP @ 5250 RPM,395 lb-ft @ 4200 RPM536 Nm @ 4200 RPM,"Sequential, multi-port, electronic, returnless",Gasoline,19 gallons (71.9 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DODGE,DODGE Charger,"2011 Dodge Charger Photos, engines & full specs",DODGE Charger5.7L V8 8AT (375 HP),https://www.autoevolution.com/cars/dodge-charger-2010.html,,,,,,,,,Rear Wheel Drive,ZF 8HP45 AUTOMATIC EIGHT-SPEED WITH AUTO STICK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
