Brand,Model,Year,Created On,Modified On
Dodge,Dakota Pickup 4WD,2003,2013-01-01,2013-01-01
Dodge,Omni,1990,2013-01-01,2013-01-01
Dodge,B350 Wagon 2WD,1992,2013-01-01,2013-01-01
Dodge,Stealth,1993,2013-01-01,2013-01-01
Dodge,Stratus 4 Door,2005,2013-01-01,2013-01-01
Dodge,Caravan/Grand Caravan 2WD,2006,2013-01-01,2013-01-01
Dodge,Challenger,2018,2017-07-26,2017-09-21
Dodge,W250 Pickup 4WD,1992,2013-01-01,2013-01-01
Dodge,B150/B250 Van 2WD,1985,2013-01-01,2013-01-01
Dodge,B3500 Van 2WD,1995,2013-01-01,2013-01-01
Dodge,Ram 1500 Pickup 4WD,2005,2013-01-01,2013-01-01
Dodge,W250 Pickup 4WD,1993,2013-01-01,2013-01-01
Dodge,Challenger,2013,2013-01-01,2016-09-26
Dodge,Dart Aero,2015,2014-08-12,2017-04-05
Dodge,Caravan/Grand Caravan/Ram Van 2WD,1989,2013-01-01,2013-01-01
Dodge,D100/D150 Pickup 2WD,1990,2013-01-01,2013-01-01
Dodge,Charger AWD,2022,2022-01-19,2022-12-21
Dodge,Omni,1986,2013-01-01,2013-01-01
Dodge,Daytona,1992,2013-01-01,2013-01-01
Dodge,B350 Van 2WD,1984,2013-01-01,2013-01-01
Dodge,B150/B250 Van 2WD,1989,2013-01-01,2013-01-01
Dodge,Colt Vista 4WD,1985,2013-01-01,2013-01-01
Dodge,Stratus,2001,2013-01-01,2013-01-01
Dodge,Durango AWD,2018,2017-08-16,2017-09-21
Dodge,Omni,1988,2013-01-01,2013-01-01
Dodge,Journey FWD,2013,2013-01-01,2016-09-26
Dodge,Power Ram 50 Pickup 4WD,1985,2013-01-01,2013-01-01
Dodge,Caravan C/V/Grand Caravan 2WD,1994,2013-01-01,2013-01-01
Dodge,Challenger,2009,2013-01-01,2013-01-01
Dodge,Caliber,2009,2013-01-01,2013-01-01
Dodge,Durango HEV,2009,2013-01-01,2020-06-02
Dodge,Spirit,1993,2013-01-01,2013-01-01
Dodge,Durango AWD,2015,2014-07-31,2016-09-26
Dodge,Stealth,1991,2013-01-01,2013-01-01
Dodge,Dakota Pickup 2WD,2006,2013-01-01,2013-01-01
Dodge,Colt Vista,1988,2013-01-01,2013-01-01
Dodge,W100/W150 Pickup 4WD,1988,2013-01-01,2013-01-01
Dodge,B150/B250 Wagon 2WD,1988,2013-01-01,2013-01-01
Dodge,Shadow Convertible,1989,2013-01-01,2013-01-01
Dodge,Dakota Pickup 4WD,1990,2013-01-01,2013-01-01
Dodge,W250 Pickup 4WD,1990,2013-01-01,2013-01-01
Dodge,Durango AWD,2019,2018-08-30,2018-09-21
Dodge,Ram 50 Pickup 2WD,1984,2013-01-01,2013-01-01
Dodge,Caravan/Grand Caravan 2WD,1999,2013-01-01,2013-01-01
Dodge,Neon,2001,2013-01-01,2013-01-01
Dodge,Ram Van 1500 2WD,2001,2013-01-01,2013-01-01
Dodge,600 Convertible,1986,2013-01-01,2013-01-01
Dodge,Daytona,1990,2013-01-01,2013-01-01
Dodge,Charger AWD,2014,2013-01-01,2016-09-26
Dodge,Ram 2500 Pickup 4WD,1995,2013-01-01,2013-01-01
Dodge,B1500 Van 2WD,1999,2013-01-01,2013-01-01
Dodge,Charger,2008,2013-01-01,2013-01-01
Dodge,AD100/AD150 Ramcharger 2WD,1986,2013-01-01,2013-01-01
Dodge,Journey AWD,2014,2013-01-01,2016-09-26
Dodge,B150/B250 Van 2WD,1986,2013-01-01,2013-01-01
Dodge,Durango RWD,2016,2016-01-05,2016-09-26
Dodge,Magnum AWD,2005,2013-01-01,2013-01-01
Dodge,Dakota Pickup 4WD,2008,2013-01-01,2013-01-01
Dodge,Spirit,1989,2013-01-01,2013-01-01
Dodge,W250 Pickup 4WD,1987,2013-01-01,2013-01-01
Dodge,Stratus,1999,2013-01-01,2013-01-01
Dodge,B350 Wagon 2WD,1988,2013-01-01,2013-01-01
