Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (540 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,397.2 kw (540 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (540 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,,,,,,,,,4.2 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (540 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (540 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,Ventilated Discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (540 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,255/50 R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (540 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,188 in (4775 mm),78.5 in (1994 mm),64.1 in (1628 mm),,115 in (2921 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (540 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379 miles (609.9 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (550 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,404.5 kw (550 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (550 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,,,,,,,,,3.9 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (550 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (550 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,Ventilated Discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (550 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,255/50 R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (550 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,188 in (4775 mm),78.5 in (1994 mm),64.1 in (1628 mm),,115 in (2921 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanDual Motor AWD (550 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.5 miles (630.1 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanSingle Motor FWD (275 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,202.3 kw (275 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanSingle Motor FWD (275 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,,,,,,,,,7.4 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanSingle Motor FWD (275 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,Front Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanSingle Motor FWD (275 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,Ventilated Discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanSingle Motor FWD (275 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,255/50 R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanSingle Motor FWD (275 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,188 in (4775 mm),78.5 in (1994 mm),64.1 in (1628 mm),,115 in (2921 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Ocean,"FISKER Ocean  (2021-Present) Photos, engines & full specs",FISKER OceanSingle Motor FWD (275 HP),https://www.autoevolution.com/cars/fisker-ocean-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.4 miles (440.0 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Karma,"FISKER Karma  (2011-2012) Photos, engines & full specs",FISKER Karma2.0L 1Speed (400 HP),https://www.autoevolution.com/cars/fisker-karma-2011.html,L4,2000 cm3,193.9 KW @ 5300 RPM263.6 HP @ 5300 RPM260 BHP @ 5300 RPM,260 lb-ft @ 2000 RPM353 Nm @ 2000 RPM,Direct Injection,Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Karma,"FISKER Karma  (2011-2012) Photos, engines & full specs",FISKER Karma2.0L 1Speed (400 HP),https://www.autoevolution.com/cars/fisker-karma-2011.html,,,,,,,,124 mph (200 km/h),,,,,,,,,,,,,,6.1 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Karma,"FISKER Karma  (2011-2012) Photos, engines & full specs",FISKER Karma2.0L 1Speed (400 HP),https://www.autoevolution.com/cars/fisker-karma-2011.html,,,,,,,,,Rear Wheel Drive,single gear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Karma,"FISKER Karma  (2011-2012) Photos, engines & full specs",FISKER Karma2.0L 1Speed (400 HP),https://www.autoevolution.com/cars/fisker-karma-2011.html,,,,,,,,,,,Brembo 370x34mm 2-piece rotors w/ 6-piston calipers,Brembo 365x28mm single piece rotors w/ 4-piston calipers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Karma,"FISKER Karma  (2011-2012) Photos, engines & full specs",FISKER Karma2.0L 1Speed (400 HP),https://www.autoevolution.com/cars/fisker-karma-2011.html,,,,,,,,,,,,,255/35R22 || 285/35RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Karma,"FISKER Karma  (2011-2012) Photos, engines & full specs",FISKER Karma2.0L 1Speed (400 HP),https://www.autoevolution.com/cars/fisker-karma-2011.html,,,,,,,,,,,,,,196.8 in (4999 mm),84 in (2134 mm),52.4 in (1331 mm),"66.6/67 in (1,692/1,702 mm)",124.4 in (3160 mm),6.9 cuFT (195 L),,,,0.313,,,,,5.6 in (142 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Karma,"FISKER Karma  (2011-2012) Photos, engines & full specs",FISKER Karma2.0L 1Speed (400 HP),https://www.autoevolution.com/cars/fisker-karma-2011.html,,,,,,,,,,,,,,,,,,,,5300 lbs (2404 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FISKER,FISKER Karma,"FISKER Karma  (2011-2012) Photos, engines & full specs",FISKER Karma2.0L 1Speed (400 HP),https://www.autoevolution.com/cars/fisker-karma-2011.html,,,,,,,,,,,,,,,,,,,,,118 mpg US (2 L/100Km),,,,,,,,,,,,,,,51 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
