Brand,Model,Year,Created On,Modified On
Ford,Ranger 2WD,2010,2013-01-01,2013-01-01
Ford,E150 Club Wagon,1985,2013-01-01,2013-01-01
Ford,Ranger Pickup 2WD,1996,2013-01-01,2013-01-01
Ford,Taurus Wagon V6 A/C,1989,2013-01-01,2013-01-01
Ford,Crown Victoria Police,1997,2013-01-01,2013-01-01
Ford,F150 Pickup 2WD FFV,2017,2016-10-05,2016-12-02
Ford,Bronco II 4WD,1985,2013-01-01,2013-01-01
Ford,Bronco II 4WD,1988,2013-01-01,2013-01-01
Ford,Escort,1989,2013-01-01,2013-01-01
Ford,Mustang,2009,2013-01-01,2013-01-01
Ford,Edge AWD,2019,2018-09-25,2018-12-03
Ford,Explorer RWD,2022,2021-12-16,2022-01-12
Ford,Bronco 4WD,2022,2021-12-20,2022-01-12
Ford,Transit T150 Wagon 4WD FFV,2022,2022-01-19,2022-05-17
Ford,Mustang Mach 1,2023,2023-01-26,2023-03-01
Ford,E350 Wagon,2014,2013-01-01,2016-09-26
Ford,Flex AWD,2016,2015-12-17,2016-09-26
Ford,Mustang,2009,2013-01-01,2013-01-01
Ford,Escape FWD,2015,2014-09-11,2016-09-26
Ford,Tempo,1986,2013-01-01,2013-01-01
Ford,F250,1996,2013-01-01,2013-01-01
Ford,Explorer Timberline AWD,2023,2023-01-26,2023-06-01
Ford,Mustang,1984,2013-01-01,2013-01-01
Ford,F150 Pickup 4WD,1993,2013-01-01,2013-01-01
Ford,Ranger Pickup 4WD,2002,2013-01-01,2013-01-01
Ford,Focus FWD FFV,2015,2014-12-18,2016-09-26
Ford,F250 Pickup 4WD,1988,2013-01-01,2013-01-01
Ford,Probe,1991,2013-01-01,2013-01-01
Ford,Mustang,1984,2013-01-01,2013-01-01
Ford,F150 Pickup 2WD,1989,2013-01-01,2013-01-01
Ford,F150 Pickup 2WD,1989,2013-01-01,2013-01-01
Ford,EXP,1985,2013-01-01,2013-01-01
Ford,Mustang Convertible,2017,2016-06-24,2016-12-02
Ford,Aerostar Wagon,1987,2013-01-01,2017-02-21
Ford,Explorer Platinum HEV AWD,2022,2021-12-16,2022-01-12
Ford,Focus SFE FWD FFV,2013,2013-01-01,2017-04-05
Ford,LTD Crown Victoria Wagon,1987,2013-01-01,2013-01-01
Ford,Escort,1995,2013-01-01,2013-01-01
Ford,Explorer Sport Trac 2WD,2008,2013-01-01,2013-01-01
Ford,MUSTANG MACH-E CAL RT 1 ER AWD,2023,2023-03-16,2023-06-01
Ford,Explorer 2WD,1991,2013-01-01,2013-01-01
Ford,Expedition 4WD,1999,2013-01-01,2013-01-01
Ford,Ranger Pickup 2WD,1999,2013-01-01,2020-06-02
Ford,Explorer 4WD,2006,2013-01-01,2013-01-01
Ford,Mustang,2020,2019-08-29,2020-01-07
Ford,Bronco 4WD,1984,2013-01-01,2013-01-01
Ford,Taurus FWD,2011,2013-01-01,2016-09-26
Ford,Focus FWD FFV,2013,2013-01-01,2017-04-05
Ford,Ranger Pickup 4WD,2005,2013-01-01,2013-01-01
Ford,Explorer RWD,2023,2023-01-26,2023-06-01
Ford,Ranger Pickup 2WD,1997,2013-01-01,2013-01-01
Ford,E250 Econoline 2WD,2001,2013-01-01,2013-01-01
Ford,Escape 4WD,2002,2013-01-01,2013-01-01
Ford,F150 Pickup 2WD,2008,2013-01-01,2013-01-01
Ford,Explorer 2WD,2000,2013-01-01,2013-01-01
Ford,F150 Pickup 2WD,2008,2013-01-01,2013-01-01
Ford,F250 Pickup Cab Chassis 2WD,1984,2013-01-01,2013-01-01
Ford,Escort,1984,2013-01-01,2013-01-01
Ford,Aerostar Van,1993,2013-01-01,2013-01-01
Ford,Escort ZX2,2002,2013-01-01,2013-01-01
Ford,Probe,1993,2013-01-01,2013-01-01
Ford,E350 Van,2012,2013-01-01,2016-09-26
Ford,Edge FWD,2013,2013-01-01,2016-09-26
Ford,Mustang,2015,2014-09-11,2016-09-26
Ford,E150 Econoline 2WD,2004,2013-01-01,2013-01-01
Ford,Fiesta ST FWD,2015,2014-06-26,2016-09-26
Ford,Escape FWD,2007,2013-01-01,2013-01-01
Ford,Explorer 2WD,2008,2013-01-01,2013-01-01
Ford,Focus Electric,2012,2013-01-01,2022-02-02
Ford,Edge AWD,2014,2013-11-19,2016-09-26
Ford,Taurus FWD,2015,2014-06-06,2016-09-26
Ford,E150 Club Wagon,2004,2013-01-01,2013-01-01
Ford,Taurus Wagon,2005,2013-01-01,2013-01-01
Ford,Focus Station Wagon,2007,2013-01-01,2013-01-01
Ford,Courier Pickup 2WD,1986,2013-01-01,2013-01-01
Ford,Tempo,1984,2013-01-01,2013-01-01
Ford,F250 Pickup 2WD,1989,2013-01-01,2013-01-01
Ford,Bronco Sasquatch 4WD,2023,2022-11-07,2022-11-30
Ford,Tempo,1985,2013-01-01,2013-01-01
Ford,Taurus AWD FFV,2016,2015-12-17,2016-09-26
Ford,Escape FWD PHEV,2023,2023-09-25,2024-02-21
Ford,Ranger Pickup 2WD,1984,2013-01-01,2013-01-01
Ford,Taurus FWD,2010,2013-01-01,2014-01-06
Ford,Mustang,2012,2013-01-01,2016-09-26
Ford,Mustang,1995,2013-01-01,2013-01-01
Ford,Taurus,1996,2013-01-01,2013-01-01
Ford,F250 Pickup 4WD,1998,2013-01-01,2013-01-01
Ford,E150 Club Wagon,1998,2013-01-01,2013-01-01
Ford,F150 Pickup 2WD,1999,2013-01-01,2013-01-01
Ford,Explorer USPS 2WD FFV,2001,2013-01-01,2014-05-05
Ford,Escort Wagon,1994,2013-01-01,2013-01-01
Ford,F150 Pickup 4WD FFV,2011,2013-01-01,2016-09-26
Ford,Ranger Pickup 4WD,1995,2013-01-01,2013-01-01
Ford,E150 Econoline 2WD,1995,2013-01-01,2013-01-01
Ford,LTD Crown Victoria Wagon,1984,2013-01-01,2013-01-01
Ford,F150 Pickup 4WD,1990,2013-01-01,2013-01-01
Ford,Escort,1992,2013-01-01,2013-01-01
Ford,F250 Pickup 2WD,1992,2013-01-01,2013-01-01
Ford,E150 Club Wagon,1993,2013-01-01,2013-01-01
Ford,Ranger Pickup 2WD,1994,2013-01-01,2013-01-01
Ford,Aspire,1996,2013-01-01,2013-01-01
Ford,F150 RAPTOR 4WD,2022,2021-11-23,2022-03-25
Ford,F150 RAPTOR 4WD,2023,2022-11-07,2023-04-11
Ford,Expedition 4WD FFV,2010,2013-01-01,2019-03-13
Ford,Festiva,1990,2013-01-01,2013-01-01
Ford,Mustang,2017,2016-06-24,2016-12-02
Ford,F150 Pickup 2WD,1990,2013-01-01,2013-01-01
Ford,EXP,1988,2013-01-01,2013-01-01
Ford,Escape FWD HEV,2021,2021-01-12,2021-07-26
Ford,Bronco 4WD,2021,2021-06-02,2021-10-18
Ford,F150 Pickup 4WD,2010,2013-01-01,2013-01-01
Ford,Ranger Pickup 2WD,1999,2013-01-01,2020-06-02
Ford,Flex FWD,2014,2013-01-01,2016-09-26
Ford,Taurus Wagon 3.0 A/C,1987,2013-01-01,2013-01-01
Ford,Ranger Pickup 4WD,1994,2013-01-01,2013-01-01
Ford,Ranger Pickup 2WD,1996,2013-01-01,2013-01-01
Ford,Escort,2000,2013-01-01,2013-01-01
Ford,E150 Econoline 2WD,2002,2013-01-01,2013-01-01
Ford,Bronco 4WD,1993,2013-01-01,2013-01-01
Ford,Thunderbird,1985,2013-01-01,2013-01-01
