Brand,Model,Year,Created On,Modified On
Hyundai,Tucson AWD,2022,2021-03-03,2021-08-24
Hyundai,Tiburon,2007,2013-01-01,2013-01-01
Hyundai,Azera,2008,2013-01-01,2013-01-01
Hyundai,Palisade FWD,2022,2021-05-18,2021-12-10
Hyundai,Sonata,1989,2013-01-01,2013-01-01
Hyundai,Accent,2010,2013-01-01,2013-01-01
Hyundai,Ioniq 6 Long range AWD (20 inch Wheels),2024,2023-07-31,2023-07-31
Hyundai,Tucson 4WD,2005,2013-01-01,2013-01-01
Hyundai,Kona N,2022,2021-10-04,2021-10-18
Hyundai,Kona AWD,2023,2022-05-17,2023-04-11
Hyundai,Nexo Blue,2019,2022-03-31,2022-03-31
Hyundai,Tiburon,2005,2013-01-01,2013-01-01
Hyundai,Excel,1992,2013-01-01,2013-01-01
Hyundai,Elantra,2013,2013-01-01,2016-09-26
Hyundai,Excel,1990,2013-01-01,2013-01-01
Hyundai,Genesis Coupe,2014,2013-12-18,2016-09-26
Hyundai,Santa Fe Sport FWD,2017,2016-01-28,2016-10-05
Hyundai,Accent/Brio,2005,2013-01-01,2013-01-01
Hyundai,Sonata,2003,2013-01-01,2013-01-01
Hyundai,Veracruz 4WD,2007,2013-01-01,2013-01-01
Hyundai,Veloster N,2020,2019-04-16,2021-04-26
Hyundai,Elantra,2023,2022-05-03,2023-04-11
Hyundai,Ioniq 6 Standard Range RWD,2023,2023-05-17,2023-05-17
Hyundai,Santa Cruz FWD,2024,2023-06-23,2024-03-19
Hyundai,Nexo Blue,2023,2023-10-19,2023-10-19
Hyundai,Veloster,2013,2013-01-01,2016-09-26
Hyundai,Tiburon (Coupe),1997,2013-01-01,2013-01-01
Hyundai,Tucson Hybrid,2023,2022-08-02,2023-04-11
Hyundai,Tucson 2WD,2015,2014-06-19,2016-09-26
Hyundai,Sonata,1994,2013-01-01,2013-01-01
Hyundai,Sonata Sport Limited,2017,2016-05-10,2016-10-05
Hyundai,Sonata,2012,2013-01-01,2016-09-26
Hyundai,Tucson Fuel Cell,2015,2022-03-31,2022-03-31
Hyundai,Sonata Plug-in Hybrid,2018,2018-04-25,2022-03-25
Hyundai,Kona FWD,2024,2023-07-31,2023-09-19
Hyundai,Elantra,2014,2013-12-18,2016-09-26
Hyundai,Tucson FWD,2020,2019-05-28,2019-11-27
Hyundai,Ioniq Electric,2019,2018-07-12,2022-02-02
Hyundai,Genesis Coupe,2013,2013-01-01,2016-09-26
Hyundai,Genesis Coupe,2016,2015-07-14,2016-09-26
Hyundai,Tucson FWD,2023,2023-01-26,2023-04-11
Hyundai,Elantra N,2022,2021-09-14,2021-12-10
Hyundai,Equus,2012,2013-01-01,2016-09-26
Hyundai,Elantra Blue,2013,2013-01-01,2016-09-26
Hyundai,Elantra,1997,2013-01-01,2013-01-01
Hyundai,Veloster,2016,2015-02-06,2017-04-05
Hyundai,Sonata Hybrid,2016,2015-03-17,2017-04-05
Hyundai,Tucson FWD,2017,2016-06-10,2016-10-05
Hyundai,Tiburon,2005,2013-01-01,2013-01-01
Hyundai,Elantra,2014,2013-12-18,2016-09-26
Hyundai,Scoupe,1994,2013-01-01,2013-01-01
Hyundai,Kona FWD,2025,2024-05-29,2024-05-29
Hyundai,Azera,2010,2013-01-01,2013-01-01
Hyundai,Equus,2014,2013-01-01,2016-09-26
Hyundai,Venue,2024,2023-07-31,2023-10-05
Hyundai,Accent/Brio,2002,2013-01-01,2013-01-01
Hyundai,Elantra GT,2020,2019-07-08,2019-07-24
Hyundai,Santa Fe 2WD,2006,2013-01-01,2013-01-01
Hyundai,Tucson 4WD,2007,2013-01-01,2013-01-01
Hyundai,Santa Fe FWD,2020,2019-06-04,2020-02-05
Hyundai,Excel,1988,2013-01-01,2013-01-01
Hyundai,Scoupe,1993,2013-01-01,2013-01-01
Hyundai,Genesis Coupe,2011,2013-01-01,2016-09-26
Hyundai,Sonata,2013,2013-01-01,2016-09-26
Hyundai,Sonata,1990,2013-01-01,2013-01-01
Hyundai,Elantra,2021,2020-11-10,2021-04-26
Hyundai,Tucson 4WD,2008,2013-01-01,2013-01-01
Hyundai,Accent/Brio,2000,2013-01-01,2013-01-01
Hyundai,Santa Fe 4WD,2005,2013-01-01,2013-01-01
Hyundai,Tiburon,2008,2013-01-01,2013-01-01
Hyundai,Sonata,1996,2013-01-01,2013-01-01
Hyundai,Elantra Limited,2014,2013-12-18,2016-09-26
Hyundai,Ioniq,2021,2020-12-02,2021-08-24
