Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (120 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,L4,1584 cm3,88.3 KW @ 6400 RPM120 HP @ 6400 RPM118 BHP @ 6400 RPM,105 lb-ft @ 5000 RPM142 Nm @ 5000 RPM,2 Carburetors,Gasoline,11.9 gallons (45.0 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (120 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,,,,,,,,124 mph (200 km/h),,,,,,,,,,,,,,10.8 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (120 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,,,,,,,,,Rear Wheel Drive,4-speed manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (120 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,,,,,,,,,,,Discs,Drums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (120 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,,,,,,,,,,,,,6.45 H 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (120 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,,,,,,,,,,,,,,168.5 in (4280 mm),63 in (1600 mm),52 in (1321 mm),"52.2/51.6 in (1,326/1,311 mm)",98.4 in (2499 mm),,,,,0.4,,,,,7.1 in (180 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (120 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,,,,,,,,,,,,,,,,,,,,2315 lbs (1050 kg),,,,,,,,,3307 lbs (1500 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (120 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,,,,,,,,,,,,,,,,,,,,,22 mpg US (10.7 L/100Km),,,,,20.5 mpg US (11.5 L/100Km),23.5 mpg US (10 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (130 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,L4,1584 cm3,95.6 KW @ 6600 RPM130 HP @ 6600 RPM128 BHP @ 6600 RPM,109 lb-ft @ 5000 RPM148 Nm @ 5000 RPM,Multipoint Injection,Gasoline,11.9 gallons (45.0 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISUZU,ISUZU 117 Coupe,"1968 Isuzu 117 Coupe Photos, engines & full specs",ISUZU 117 Coupe1.6L 4MT RWD (130 HP),https://www.autoevolution.com/cars/isuzu-117-coupe-1968.html,,,,,,,,118 mph (190 km/h),,,,,,,,,,,,,,10 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
