Brand,Model,Year,Created On,Modified On
Lexus,IS 350,2018,2017-11-10,2017-12-20
Lexus,IS F,2008,2013-01-01,2013-01-01
Lexus,ES 300,2000,2013-01-01,2013-01-01
Lexus,RX 330 2WD,2005,2013-01-01,2013-01-01
Lexus,SC 300/SC 400,1993,2013-01-01,2013-01-01
Lexus,IS F,2010,2013-01-01,2013-01-01
Lexus,RX 450h L AWD,2020,2019-08-29,2019-12-10
Lexus,RX 450h,2016,2015-11-04,2017-04-05
Lexus,LC 500 Convertible,2024,2023-06-23,2024-05-29
Lexus,IS 300,2024,2023-11-06,2024-05-29
Lexus,IS 250,2014,2013-01-01,2016-09-26
Lexus,GS 350 F Sport,2019,2018-10-17,2018-12-18
Lexus,RC 300,2023,2022-10-26,2023-06-01
Lexus,RC 300 AWD,2021,2020-10-05,2021-08-10
Lexus,CT 200h,2012,2013-01-01,2020-06-02
Lexus,ES 350,2015,2014-09-18,2016-09-26
Lexus,LS 460 AWD,2015,2014-11-20,2016-09-26
Lexus,LS 500,2018,2018-02-19,2018-04-25
Lexus,LS 500,2023,2022-11-07,2023-03-01
Lexus,RX 300,2003,2013-01-01,2013-01-01
Lexus,NX 300,2020,2019-06-04,2019-12-10
Lexus,GS 350 AWD,2020,2019-10-02,2020-02-05
Lexus,LS 500,2022,2021-11-23,2022-12-05
Lexus,RX 330 2WD,2005,2013-01-01,2013-01-01
Lexus,GX 460,2021,2020-08-24,2021-04-26
Lexus,RC 300 AWD,2016,2015-11-19,2016-09-26
Lexus,LS 500h AWD,2021,2021-02-24,2021-09-02
Lexus,RX 350 4WD,2007,2013-01-01,2013-01-01
Lexus,IS 350,2024,2023-11-06,2024-05-29
Lexus,RX 350,2018,2018-01-03,2018-02-06
Lexus,IS 250 AWD,2010,2013-01-01,2013-01-01
Lexus,IS 300,2022,2021-09-24,2022-01-12
Lexus,LS 500h,2021,2021-02-24,2021-09-02
Lexus,LS 500 AWD,2023,2022-11-07,2023-03-01
Lexus,SC,1999,2013-01-01,2013-01-01
Lexus,RX 350 AWD,2021,2020-09-10,2021-04-26
Lexus,RX 350 AWD,2011,2013-01-01,2016-09-26
Lexus,LS 460,2009,2013-01-01,2013-01-01
Lexus,UX 200,2022,2021-09-14,2022-01-04
Lexus,UX 250h AWD,2020,2019-11-05,2020-04-17
Lexus,ES 350,2008,2013-01-01,2013-01-01
Lexus,RX 350 2WD,2007,2013-01-01,2013-01-01
Lexus,LS 400,1992,2013-01-01,2013-01-01
