Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
MG,MG U9,"2025 MGU9 Photos, engines & full specs",MG U92.5L 8AT AWD (218 HP),https://www.autoevolution.com/cars/mg-u9-2025.html,L4,2498 cm3,160 KW @ - RPM218 HP @ - RPM215 BHP @ - RPM,384 lb-ft @ - RPM520 Nm @ - RPM,Turbocharged Common Rail,Diesel,21.1 gallons (79.9 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG U9,"2025 MGU9 Photos, engines & full specs",MG U92.5L 8AT AWD (218 HP),https://www.autoevolution.com/cars/mg-u9-2025.html,,,,,,,,112 mph (180 km/h),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG U9,"2025 MGU9 Photos, engines & full specs",MG U92.5L 8AT AWD (218 HP),https://www.autoevolution.com/cars/mg-u9-2025.html,,,,,,,,,All Wheel Drive,8-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG U9,"2025 MGU9 Photos, engines & full specs",MG U92.5L 8AT AWD (218 HP),https://www.autoevolution.com/cars/mg-u9-2025.html,,,,,,,,,,,Ventilated discs,Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG U9,"2025 MGU9 Photos, engines & full specs",MG U92.5L 8AT AWD (218 HP),https://www.autoevolution.com/cars/mg-u9-2025.html,,,,,,,,,,,,,265/65 R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG U9,"2025 MGU9 Photos, engines & full specs",MG U92.5L 8AT AWD (218 HP),https://www.autoevolution.com/cars/mg-u9-2025.html,,,,,,,,,,,,,,216.5 in (5499 mm),78.6 in (1996 mm),73.8 in (1875 mm),"66.3/66.3 in (1,684/1,684 mm)",129.9 in (3299 mm),,,,,,,,,,8.7 in (221 mm),,,43.6 ft (13.3 m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG U9,"2025 MGU9 Photos, engines & full specs",MG U92.5L 8AT AWD (218 HP),https://www.autoevolution.com/cars/mg-u9-2025.html,,,,,,,,,,,,,,,,,,,,5401 lbs (2450 kg),,,,,,,,,7099 lbs (3220 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG U9,"2025 MGU9 Photos, engines & full specs",MG U92.5L 8AT AWD (218 HP),https://www.autoevolution.com/cars/mg-u9-2025.html,,,,,,,,,,,,,,,,,,,,,29.8 mpg US (7.9 L/100Km),,,,,24.8 mpg US (9.5 L/100Km),33.6 mpg US (7 L/100Km),,,,,,,,,208 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG IM5,"MG IM5 Photos, engines & full specs",MG IM5Long Range 100 KWh,https://www.autoevolution.com/cars/mg-im5-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG,MG IM5,"MG IM5 Photos, engines & full specs",MG IM5Long Range 100 KWh,https://www.autoevolution.com/cars/mg-im5-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
