Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
MITSUBISHI,MITSUBISHI Eclipse Cross,"2025 Mitsubishi Eclipse Cross Photos, engines & full specs",MITSUBISHI Eclipse Cross87 KWh (218 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,160 kw (218 hp),221.3 lb-ft (300 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"2025 Mitsubishi Eclipse Cross Photos, engines & full specs",MITSUBISHI Eclipse Cross87 KWh (218 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2025.html,,,,,,,,,Front Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"2025 Mitsubishi Eclipse Cross Photos, engines & full specs",MITSUBISHI Eclipse Cross87 KWh (218 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2025.html,,,,,,,,,,,Ventilated discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"2025 Mitsubishi Eclipse Cross Photos, engines & full specs",MITSUBISHI Eclipse Cross87 KWh (218 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.8 miles (600.0 km),87 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"2021 Mitsubishi Eclipse Cross Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L MIVEC CVT FWD,https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2021.html,L4,,,,Turbocharged Direct Injection,Gasoline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"2021 Mitsubishi Eclipse Cross Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L MIVEC CVT FWD,https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2021.html,,,,,,,,,Front Wheel Drive,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"2021 Mitsubishi Eclipse Cross Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L MIVEC CVT FWD,https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2021.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC 6MT FWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,L4,,119.9 KW @ - RPM163 HP @ - RPM161 BHP @ - RPM,184 lb-ft @ - RPM250 Nm @ - RPM,Turbocharged Direct Injection,Gasoline,16.6 gallons (62.8 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC 6MT FWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,,,,,,,,,Front Wheel Drive,6-speed manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC 6MT FWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC 6MT FWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,,,,,,,,,,,,,,,,,,,,,35.6 mpg US (6.6 L/100Km),,,,,28.7 mpg US (8.2 L/100Km),41.3 mpg US (5.7 L/100Km),,,,,,,,,151 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC CVT AWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,L4,,119.9 KW @ - RPM163 HP @ - RPM161 BHP @ - RPM,184 lb-ft @ - RPM250 Nm @ - RPM,Turbocharged Direct Injection,Gasoline,16.6 gallons (62.8 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC CVT AWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,,,,,,,,,All Wheel Drive,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC CVT AWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,,,,,,,,,,,Ventilated Discs,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC CVT AWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,,,,,,,,,,,,,,,,,,,,,33.6 mpg US (7 L/100Km),,,,,28.7 mpg US (8.2 L/100Km),37.9 mpg US (6.2 L/100Km),,,,,,,,,159 g/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC CVT FWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,L4,,119.9 KW @ - RPM163 HP @ - RPM161 BHP @ - RPM,184 lb-ft @ - RPM250 Nm @ - RPM,Turbocharged Direct Injection,Gasoline,16.6 gallons (62.8 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITSUBISHI,MITSUBISHI Eclipse Cross,"MITSUBISHI Eclipse Cross  (2017-2021) Photos, engines & full specs",MITSUBISHI Eclipse Cross1.5L T-MIVEC CVT FWD (163 HP),https://www.autoevolution.com/cars/mitsubishi-eclipse-cross-2017.html,,,,,,,,,Front Wheel Drive,CVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
