Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
Mahindra,Mahindra Bolero,"2011 Mahindra Bolero Photos, engines & full specs",Mahindra Bolero2.5L D (63 HP),https://www.autoevolution.com/cars/mahindra-bolero-2011.html,L4,2523 cm3,46 KW @ 3200 RPM63 HP @ 3200 RPM62 BHP @ 3200 RPM,144 lb-ft @ 1400-2200 RPM195 Nm @ 1400-2200 RPM,Common Rail Direct Injection,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Bolero,"2011 Mahindra Bolero Photos, engines & full specs",Mahindra Bolero2.5L D (63 HP),https://www.autoevolution.com/cars/mahindra-bolero-2011.html,,,,,,,,,All Wheel Drive,5-speed manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Bolero,"2011 Mahindra Bolero Photos, engines & full specs",Mahindra Bolero2.5L D (63 HP),https://www.autoevolution.com/cars/mahindra-bolero-2011.html,,,,,,,,,,,Ventilated Discs,Drums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Bolero,"2011 Mahindra Bolero Photos, engines & full specs",Mahindra Bolero2.5L D (63 HP),https://www.autoevolution.com/cars/mahindra-bolero-2011.html,,,,,,,,,,,,,215 / 75 R 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Bolero,"2011 Mahindra Bolero Photos, engines & full specs",Mahindra Bolero2.5L D (63 HP),https://www.autoevolution.com/cars/mahindra-bolero-2011.html,,,,,,,,,,,,,,161.7 in (4107 mm),68.7 in (1745 mm),74 in (1880 mm),,105.5 in (2680 mm),,,,,,,,,,7.1 in (180 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 5MT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,L4,2179 cm3,87 KW @ 4000 RPM118 HP @ 4000 RPM117 BHP @ 4000 RPM,214 lb-ft @ 1800-2800 RPM290 Nm @ 1800-2800 RPM,Common Rail,Gasoline,14.5 gallons (54.9 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 5MT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,All Wheel Drive,5 speed manual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 5MT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,,,Ventilated Discs,Drums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 5MT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,,,,,P235 / 70 R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 5MT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,,,,,,174.4 in (4430 mm),71.5 in (1816 mm),77.8 in (1976 mm),,105.5 in (2680 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 5MT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5754 lbs (2610 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 6AT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,L4,2179 cm3,87 KW @ 4000 RPM118 HP @ 4000 RPM117 BHP @ 4000 RPM,214 lb-ft @ 1800-2800 RPM290 Nm @ 1800-2800 RPM,Common Rail,Gasoline,14.5 gallons (54.9 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 6AT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,All Wheel Drive,"6 speed, automatic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 6AT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,,,Ventilated Discs,Drums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 6AT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,,,,,P235 / 70 R16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahindra,Mahindra Scorpio / GOA,"2002 Mahindra Scorpio Photos, engines & full specs",Mahindra Scorpio / Goa2.2D 6AT 4WD (118 HP),https://www.autoevolution.com/cars/mahindra-scorpio-goa-2002.html,,,,,,,,,,,,,,174.4 in (4430 mm),71.5 in (1816 mm),77.8 in (1976 mm),,105.5 in (2680 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
