Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2024 Mercedes-AMG GT 63 S E PERFORMANCE Photos, engines & full specs",Mercedes-AMG AMG GT 4-Door Coupe4.0L V8 Biturbo 9AT AWD (843 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-4-door-coupe-2023.html,V8,3982 cm3,470 KW @ 5500-6500 RPM639 HP @ 5500-6500 RPM630 BHP @ 5500-6500 RPM,664 lb-ft @ 2500-4500 RPM900 Nm @ 2500-4500 RPM,Direct Injection,Plug-in Hybrid,19.3 gallons (73.1 L),,,,,,,,,,,,,,,,,,,,,,,,,150 kw (204 hp),236 lb-ft (320 Nm),620 kw (843 hp),1084.2 lb-ft (1470 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2024 Mercedes-AMG GT 63 S E PERFORMANCE Photos, engines & full specs",Mercedes-AMG AMG GT 4-Door Coupe4.0L V8 Biturbo 9AT AWD (843 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-4-door-coupe-2023.html,,,,,,,,196 mph (315 km/h),,,,,,,,,,,,,,2.9 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2024 Mercedes-AMG GT 63 S E PERFORMANCE Photos, engines & full specs",Mercedes-AMG AMG GT 4-Door Coupe4.0L V8 Biturbo 9AT AWD (843 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-4-door-coupe-2023.html,,,,,,,,,All Wheel Drive,9-speed automatic AMG Speepshift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2024 Mercedes-AMG GT 63 S E PERFORMANCE Photos, engines & full specs",Mercedes-AMG AMG GT 4-Door Coupe4.0L V8 Biturbo 9AT AWD (843 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-4-door-coupe-2023.html,,,,,,,,,,,Ventilated Discs,Ventilated discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2024 Mercedes-AMG GT 63 S E PERFORMANCE Photos, engines & full specs",Mercedes-AMG AMG GT 4-Door Coupe4.0L V8 Biturbo 9AT AWD (843 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-4-door-coupe-2023.html,,,,,,,,,,,,,,199 in (5055 mm),81.5 in (2070 mm),57 in (1448 mm),,116.2 in (2951 mm),11.8 cuFT (334 L),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2024 Mercedes-AMG GT 63 S E PERFORMANCE Photos, engines & full specs",Mercedes-AMG AMG GT 4-Door Coupe4.0L V8 Biturbo 9AT AWD (843 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-4-door-coupe-2023.html,,,,,,,,,,,,,,,,,,,,5247 lbs (2380 kg),,,,,,,,,6085 lbs (2760 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2024 Mercedes-AMG GT 63 S E PERFORMANCE Photos, engines & full specs",Mercedes-AMG AMG GT 4-Door Coupe4.0L V8 Biturbo 9AT AWD (843 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-4-door-coupe-2023.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium-Ion,6.1 kWh,7.5 miles (12.1 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2024 Mercedes-AMG GT 63 S E PERFORMANCE Photos, engines & full specs",Mercedes-AMG AMG GT 4-Door Coupe4.0L V8 Biturbo 9AT AWD (843 HP),https://www.autoevolution.com/cars/mercedes-amg-amg-gt-4-door-coupe-2023.html,,,,,,,,,,,,,,,,,,,,,27 mpg US (8.7 L/100Km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2023 Mercedes-AMG GT53 4-Door Photos, engines & full specs",Mercedes-AMG GT53 4-Door53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt53-4-door-2023.html,L6,2999 cm3,319.9 KW @ 6100 RPM435 HP @ 6100 RPM429 BHP @ 6100 RPM,384 lb-ft @ 1800-5800 RPM520 Nm @ 1800-5800 RPM,Turbocharged Direct Injection,Mild Hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,16.2 kw (22 hp),184.4 lb-ft (250 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercedes-AMG,Mercedes-AMG GT 4-DOOR COUPE,"2023 Mercedes-AMG GT53 4-Door Photos, engines & full specs",Mercedes-AMG GT53 4-Door53 4MATIC+ 9AT AWD (435 HP),https://www.autoevolution.com/cars/mercedes-amg-gt53-4-door-2023.html,,,,,,,,177 mph (285 km/h),,,,,,,,,,,,,,4.5 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
