Brand,Model,Year,Created On,Modified On
Nissan,300ZX,1995,2013-01-01,2013-01-01
Nissan,370Z Roadster,2017,2016-05-24,2016-11-22
Nissan,Frontier 2WD,2013,2013-01-01,2016-09-26
Nissan,Frontier 4WD,2013,2013-01-01,2016-09-26
Nissan,Versa,2011,2013-01-01,2016-09-26
Nissan,Van (passenger),1990,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2008,2013-01-01,2022-06-16
Nissan,Titan 4WD,2020,2020-01-27,2020-04-17
Nissan,Z,2023,2022-06-10,2022-06-10
Nissan,Truck Cab Chassis 2WD,1989,2013-01-01,2013-01-01
Nissan,Sentra Nismo,2018,2017-11-03,2017-12-20
Nissan,Kicks,2022,2022-01-04,2022-09-07
Nissan,Frontier 2WD,2010,2013-01-01,2013-01-01
Nissan,Xterra 4WD,2010,2013-01-01,2013-01-01
Nissan,350z Roadster,2004,2013-01-01,2013-01-01
Nissan,GT-R,2011,2013-01-01,2017-04-05
Nissan,Pathfinder 4WD,2024,2023-09-19,2024-03-19
Nissan,Sentra,1994,2013-01-01,2013-01-01
Nissan,Maxima,2006,2013-01-01,2013-01-01
Nissan,Titan 2WD,2006,2013-01-01,2013-01-01
Nissan,NX,1993,2013-01-01,2013-01-01
Nissan,Truck Cab Chassis 2WD,1986,2013-01-01,2013-01-01
Nissan,Versa,2013,2013-01-01,2016-09-26
Nissan,Rogue FWD,2015,2014-09-11,2016-09-26
Nissan,Frontier V6 4WD,2000,2013-01-01,2013-01-01
Nissan,Altima,2002,2013-01-01,2013-01-01
Nissan,Murano AWD,2015,2014-12-10,2017-04-05
Nissan,300ZX,1996,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2003,2013-01-01,2013-01-01
Nissan,Armada 4WD,2005,2013-01-01,2013-01-01
Nissan,Frontier V6 4WD,2003,2013-01-01,2013-01-01
Nissan,Murano FWD,2022,2021-11-16,2022-01-12
Nissan,Versa,2018,2017-08-28,2017-11-10
Nissan,Frontier 2WD FFV,2019,2018-08-30,2018-12-03
Nissan,Leaf SV/SL (62 kW-hr battery pack),2021,2021-01-12,2022-02-02
Nissan,Versa,2016,2015-07-16,2016-09-26
Nissan,Altima AWD,2024,2023-09-19,2024-03-19
Nissan,Truck Cab Chassis 2WD,1986,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2010,2013-01-01,2013-01-01
Nissan,Maxima,2016,2015-05-29,2017-04-05
Nissan,Sentra,1989,2013-01-01,2013-01-01
Nissan,Sentra FE,2013,2013-01-01,2016-09-26
Nissan,Titan 4WD FFV,2011,2013-01-01,2016-09-26
Nissan,Juke AWD,2013,2013-01-01,2017-04-05
Nissan,Altima,2009,2013-01-01,2013-01-01
Nissan,Versa,2022,2021-12-02,2022-01-12
Nissan,Pathfinder 4WD,1993,2013-01-01,2013-01-01
Nissan,Pathfinder 2WD,2000,2013-01-01,2013-01-01
Nissan,Pathfinder 4WD,2002,2013-01-01,2013-01-01
Nissan,Sentra,2003,2013-01-01,2013-01-01
Nissan,Versa,2017,2016-08-25,2016-11-22
Nissan,Pickup 2WD,1984,2013-01-01,2013-01-01
Nissan,Titan 4WD,2024,2023-09-19,2024-03-19
Nissan,Maxima,2005,2013-01-01,2013-01-01
Nissan,Sentra,2012,2013-01-01,2016-09-26
Nissan,Sentra Wagon,1985,2013-01-01,2013-01-01
Nissan,370Z,2018,2017-05-24,2017-10-23
Nissan,Pathfinder 2WD,1997,2013-01-01,2013-01-01
Nissan,370Z,2020,2019-04-16,2019-11-27
Nissan,Maxima,1990,2013-01-01,2013-01-01
Nissan,Murano AWD,2004,2013-01-01,2013-01-01
Nissan,Altima,2005,2013-01-01,2013-01-01
Nissan,Altima,2014,2013-01-01,2016-09-26
Nissan,Pathfinder 2WD,1992,2013-01-01,2013-01-01
Nissan,Altima,2010,2013-01-01,2013-01-01
Nissan,Altima,2007,2013-01-01,2013-01-01
Nissan,Frontier 4WD FFV,2017,2016-10-12,2016-11-22
Nissan,Armada 4WD,2013,2013-01-01,2016-09-26
Nissan,Versa,2014,2013-01-01,2016-09-26
Nissan,370Z Roadster,2012,2013-01-01,2016-09-26
Nissan,Frontier 4WD,2014,2013-10-29,2016-09-26
Nissan,Versa,2007,2013-01-01,2013-01-01
Nissan,Armada 4WD,2008,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2005,2013-01-01,2013-01-01
Nissan,Xterra V6 2WD,2001,2013-01-01,2013-01-01
Nissan,Sentra,2006,2013-01-01,2013-01-01
Nissan,Rogue FWD,2017,2016-11-07,2016-11-22
Nissan,Truck 4WD,1987,2013-01-01,2013-01-01
Nissan,Truck Cab Chassis 2WD,1988,2013-01-01,2013-01-01
Nissan,Sentra,2007,2013-01-01,2013-01-01
Nissan,300ZX,1989,2013-01-01,2013-01-01
Nissan,200SX,1988,2013-01-01,2013-01-01
Nissan,Rogue FWD SL/Platinum,2022,2021-12-10,2022-10-03
Nissan,Pathfinder 2WD,1995,2013-01-01,2013-01-01
Nissan,Frontier 4WD,2015,2014-09-04,2016-09-26
Nissan,Murano AWD,2021,2021-01-05,2021-09-02
Nissan,Altima SR,2023,2022-10-03,2023-06-01
Nissan,Titan 4WD,2018,2017-11-03,2018-02-06
Nissan,Truck Cab Chassis 2WD,1987,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2004,2013-01-01,2013-01-01
Nissan,Pathfinder 4WD Platinum,2016,2015-12-02,2016-09-26
Nissan,Truck 2WD,1993,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2006,2013-01-01,2013-01-01
Nissan,Rogue AWD,2010,2013-01-01,2013-01-01
Nissan,Sentra/200SX,1999,2013-01-01,2013-01-01
Nissan,200SX,1984,2013-01-01,2013-01-01
Nissan,Titan 4WD PRO4X,2024,2023-09-19,2024-03-19
Nissan,Frontier V6 2WD,2003,2013-01-01,2013-01-01
Nissan,Sentra,2012,2013-01-01,2017-04-05
Nissan,Stanza,1984,2013-01-01,2013-01-01
Nissan,Sentra,2000,2013-01-01,2013-01-01
Nissan,Pathfinder 2WD,2024,2023-09-19,2024-03-19
Nissan,Frontier 4WD,2017,2016-10-12,2016-11-22
Nissan,Van (cargo),1988,2013-01-01,2013-01-01
Nissan,Truck Cab Chassis 2WD,1988,2013-01-01,2013-01-01
Nissan,Sentra,1993,2013-01-01,2013-01-01
Nissan,Pathfinder 4WD,2001,2013-01-01,2013-01-01
Nissan,Frontier V6 4WD,2001,2013-01-01,2013-01-01
Nissan,Titan 2WD,2007,2013-01-01,2013-01-01
Nissan,Pathfinder 4WD,1997,2013-01-01,2013-01-01
Nissan,Maxima Wagon,1984,2013-01-01,2013-01-01
Nissan,Sentra,2001,2013-01-01,2013-01-01
Nissan,Altima,2021,2020-10-26,2021-04-26
Nissan,Maxima,2011,2013-01-01,2017-04-05
Nissan,Frontier 4WD,2015,2014-09-04,2016-09-26
Nissan,Xterra 2WD,2009,2013-01-01,2013-01-01
Nissan,Maxima,1990,2013-01-01,2013-01-01
Nissan,Titan 4WD,2013,2013-01-01,2016-09-26
Nissan,Frontier 4WD,2016,2015-09-09,2016-09-26
Nissan,Sentra Nismo,2019,2018-08-16,2018-10-03
Nissan,Pulsar NX,1988,2013-01-01,2013-01-01
Nissan,Leaf (62 kW-hr battery pack),2022,2021-08-24,2022-02-02
Nissan,Frontier 2WD,2006,2013-01-01,2013-01-01
Nissan,Sentra,2008,2013-01-01,2013-01-01
Nissan,Stanza,1985,2013-01-01,2013-01-01
Nissan,Sentra,1993,2013-01-01,2013-01-01
Nissan,Xterra 2WD,2013,2013-01-01,2016-09-26
Nissan,Altima,2004,2013-01-01,2013-01-01
Nissan,Sentra,2007,2013-01-01,2013-01-01
Nissan,300ZX,1992,2013-01-01,2013-01-01
Nissan,Sentra,2004,2013-01-01,2013-01-01
Nissan,240SX,1994,2013-01-01,2013-01-01
Nissan,Quest,2014,2013-01-01,2016-09-26
Nissan,Murano AWD,2003,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2016,2015-09-09,2016-09-26
Nissan,300ZX,1993,2013-01-01,2013-01-01
Nissan,370Z,2016,2015-03-17,2016-09-26
Nissan,Truck 2WD,1985,2013-01-01,2013-01-01
Nissan,Titan 4WD,2008,2013-01-01,2013-01-01
Nissan,Armada 4WD,2018,2017-08-03,2017-11-10
Nissan,Murano CrossCabriolet,2013,2013-01-01,2016-09-26
Nissan,Truck 2WD,1987,2013-01-01,2013-01-01
Nissan,Truck 2WD,1987,2013-01-01,2013-01-01
Nissan,Rogue Sport AWD,2022,2022-01-12,2022-10-03
Nissan,Frontier 4WD,2000,2013-01-01,2013-01-01
Nissan,Altima,2009,2013-01-01,2013-01-01
Nissan,Van (passenger),1987,2013-01-01,2013-01-01
Nissan,370Z,2010,2013-01-01,2013-01-01
Nissan,Rogue Select FWD,2015,2015-01-22,2016-09-26
Nissan,Sentra/200SX,1998,2013-01-01,2013-01-01
Nissan,Truck 2WD,1994,2013-01-01,2013-01-01
Nissan,Rogue Hybrid  FWD,2017,2016-12-22,2017-02-21
Nissan,Altima SL/SR,2023,2022-10-03,2023-06-01
Nissan,Murano CrossCabriolet,2011,2014-02-17,2016-09-26
Nissan,Pathfinder 4WD,2016,2015-12-02,2016-09-26
Nissan,300ZX 2x2,1996,2013-01-01,2013-01-01
Nissan,Xterra V6 4WD,2003,2013-01-01,2013-01-01
Nissan,Xterra V6 4WD,2001,2013-01-01,2013-01-01
Nissan,ARIYA ENGAGE e-4ORCE 63kWh,2023,2023-07-31,2023-10-19
Nissan,Frontier 2WD,2014,2013-10-29,2016-09-26
Nissan,Truck 4WD,1987,2013-01-01,2013-01-01
Nissan,Pathfinder 4WD,2007,2013-01-01,2013-01-01
Nissan,Pathfinder 4WD,2018,2017-09-21,2017-11-10
Nissan,Pathfinder 2WD,1991,2013-01-01,2013-01-01
Nissan,200SX,1988,2013-01-01,2013-01-01
Nissan,Sentra,2010,2013-01-01,2013-01-01
Nissan,Frontier V6 2WD,2001,2013-01-01,2013-01-01
Nissan,Pathfinder 2WD,1996,2013-01-01,2013-01-01
Nissan,Xterra 4WD,2007,2013-01-01,2013-01-01
Nissan,Altima AWD,2019,2018-10-17,2018-12-03
Nissan,Versa,2012,2013-01-01,2016-09-26
Nissan,Stanza,1985,2013-01-01,2013-01-01
Nissan,Xterra 2WD,2010,2013-01-01,2013-01-01
Nissan,Juke,2014,2013-01-01,2017-04-05
Nissan,Armada 4WD FFV,2010,2013-01-01,2019-03-13
Nissan,Pulsar/Pulsar-NX,1984,2013-01-01,2013-01-01
Nissan,Armada 4WD,2010,2013-01-01,2013-01-01
Nissan,Pulsar/Pulsar-NX,1985,2013-01-01,2013-01-01
Nissan,Maxima,1997,2013-01-01,2013-01-01
Nissan,Sentra,1985,2013-01-01,2013-01-01
Nissan,Sentra,2007,2013-01-01,2013-01-01
Nissan,Quest,1998,2013-01-01,2013-01-01
Nissan,350z,2003,2013-01-01,2013-01-01
Nissan,Hardbody 4WD,1990,2013-01-01,2013-01-01
Nissan,Truck 2WD,1992,2013-01-01,2013-01-01
Nissan,Sentra,2011,2013-01-01,2016-09-26
Nissan,Pathfinder 2WD,1993,2013-01-01,2013-01-01
Nissan,Versa,2020,2019-08-15,2019-09-10
Nissan,Leaf (62 kW-hr battery pack),2019,2019-03-13,2020-04-02
Nissan,Altima / Stanza,1995,2013-01-01,2013-01-01
Nissan,Altima,2002,2013-01-01,2013-01-01
Nissan,Pulsar NX,1989,2013-01-01,2013-01-01
Nissan,Maxima,2020,2019-08-26,2019-11-27
Nissan,300ZX,1990,2013-01-01,2013-01-01
Nissan,350z Roadster,2008,2013-01-01,2013-01-01
Nissan,Frontier V6 2WD,2004,2013-01-01,2013-01-01
Nissan,Sentra,2008,2013-01-01,2013-01-01
Nissan,Truck 2WD,1985,2013-01-01,2013-01-01
Nissan,300ZX,1990,2013-01-01,2013-01-01
Nissan,Sentra,2004,2013-01-01,2013-01-01
Nissan,Xterra 2WD,2006,2013-01-01,2013-01-01
Nissan,Rogue Hybrid  AWD,2017,2016-12-22,2017-02-21
Nissan,ARIYA EVO Plus/EMP Plus/PRM FWD 87kWh,2023,2022-10-20,2022-10-26
Nissan,Altima,2015,2014-06-06,2016-09-26
Nissan,Frontier 2WD,2017,2016-10-12,2016-11-22
Nissan,NX,1993,2013-01-01,2013-01-01
Nissan,Sentra/200SX,1999,2013-01-01,2013-01-01
Nissan,Van(cargo),1987,2013-01-01,2013-01-01
Nissan,Sentra,2000,2013-01-01,2013-01-01
Nissan,Frontier 4WD PRO4X,2023,2022-09-12,2023-03-01
Nissan,Maxima,1989,2013-01-01,2013-01-01
Nissan,Pulsar NX,1990,2013-01-01,2013-01-01
Nissan,370Z Roadster,2020,2019-04-16,2019-11-27
Nissan,370Z,2013,2013-01-01,2016-09-26
Nissan,370Z Roadster,2019,2018-06-05,2018-08-10
Nissan,200SX,1984,2013-01-01,2013-01-01
Nissan,300ZX,1985,2013-01-01,2013-01-01
Nissan,Axxess,1990,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2005,2013-01-01,2013-01-01
Nissan,Sentra Wagon,1986,2013-01-01,2013-01-01
Nissan,Van (passenger),1988,2013-01-01,2013-01-01
Nissan,Armada 4WD,2022,2021-08-17,2021-12-10
Nissan,Maxima,1984,2013-01-01,2013-01-01
Nissan,Versa,2015,2014-04-25,2016-09-26
Nissan,Truck 4WD (new Version),1986,2013-01-01,2013-01-01
Nissan,Xterra V6 2WD,2002,2013-01-01,2013-01-01
Nissan,Juke,2014,2013-01-01,2016-09-26
Nissan,Rogue AWD,2016,2015-09-16,2016-09-26
Nissan,Quest,1995,2013-01-01,2013-01-01
Nissan,370Z Roadster,2017,2016-05-24,2016-11-22
Nissan,Hyper-Mini,2001,2013-01-01,2020-06-02
Nissan,Pathfinder 2WD,2001,2013-01-01,2013-01-01
Nissan,Juke Nismo RS,2016,2015-10-19,2016-09-26
Nissan,Truck 4WD,1986,2013-01-01,2013-01-01
Nissan,Rogue FWD,2016,2015-09-16,2016-09-26
Nissan,Sentra,1992,2013-01-01,2013-01-01
Nissan,Frontier V6 4WD,2004,2013-01-01,2013-01-01
Nissan,Altima,2008,2013-01-01,2013-01-01
Nissan,Armada 4WD,2009,2013-01-01,2013-01-01
Nissan,Pathfinder 2WD,2019,2018-10-03,2019-07-08
Nissan,Frontier 4WD,2009,2013-01-01,2013-01-01
Nissan,Titan 4WD  PRO4X,2017,2016-09-01,2016-11-22
Nissan,300ZX 2x2,1996,2013-01-01,2013-01-01
Nissan,Z NISMO,2024,2023-09-19,2024-03-19
Nissan,Leaf SV/SL (62 kW-hr battery pack),2019,2019-03-13,2020-04-02
Nissan,Altima Coupe,2012,2013-01-01,2017-04-05
Nissan,Armada 2WD,2005,2013-01-01,2013-01-01
Nissan,Versa,2024,2023-10-05,2024-03-19
Nissan,Truck 4WD,1989,2013-01-01,2013-01-01
Nissan,Juke AWD,2012,2013-01-01,2017-04-05
Nissan,GT-R,2021,2020-08-24,2021-04-26
Nissan,300ZX,1984,2013-01-01,2013-01-01
Nissan,NV200 NYC Taxi,2018,2017-09-11,2017-09-11
Nissan,Altima AWD,2022,2021-11-04,2022-01-12
Nissan,Murano FWD,2014,2013-01-01,2016-09-26
Nissan,Pathfinder 2WD,1995,2013-01-01,2013-01-01
Nissan,Sentra/200SX,1996,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2015,2014-09-04,2016-09-26
Nissan,Altima,2017,2016-09-13,2016-11-22
Nissan,Frontier 2WD,2023,2023-02-17,2023-06-01
Nissan,Quest,1999,2013-01-01,2013-01-01
Nissan,Frontier 2WD,2018,2017-09-21,2017-11-10
Nissan,Juke AWD,2016,2015-10-19,2017-04-05
Nissan,Altima,2002,2013-01-01,2013-01-01
Nissan,Titan 4WD,2004,2013-01-01,2013-01-01
Nissan,Frontier V6 2WD,2005,2013-01-01,2013-01-01
Nissan,Sentra/200SX,1998,2013-01-01,2013-01-01
Nissan,240SX,1993,2013-01-01,2013-01-01
Nissan,Frontier V6 4WD,2004,2013-01-01,2013-01-01
Nissan,Maxima,1992,2013-01-01,2013-01-01
Nissan,Pathfinder 4WD,2017,2016-09-13,2016-11-22
Nissan,Pathfinder 2WD,1999,2013-01-01,2013-01-01
Nissan,Sentra Wagon,1984,2013-01-01,2013-01-01
