Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW58.3 FWD (156 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,114.7 kw (156 hp),199.1 lb-ft (270 Nm),114.7 kw (156 hp),199.1 lb-ft (270 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW58.3 FWD (156 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,,,,,,,,,,,,,,,,,,10 s,,,,,,,,,,,,,,,,,,,,,,,,106 mph (171 km/h),,,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW58.3 FWD (156 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,,,,,Front Wheel Drive,1-speed automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW58.3 FWD (156 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,,,,,,,Ventilated Disc,Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW58.3 FWD (156 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,,,,,,,,,215/45 R18 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW58.3 FWD (156 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,,,,,,,,,,182.7 in (4641 mm),72.8 in (1849 mm),58.3 in (1481 mm),,107.5 in (2731 mm),16.5 cuFT (467 L),,,,0.27,,,,,,,,36.5 ft (11.1 m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW58.3 FWD (156 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,,,,,,,,,,,,,,,,3765 lbs (1708 kg),,,,,,,,,4795 lbs (2175 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW58.3 FWD (156 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium nickel manganese cobalt oxides (Li-NMC),54 kWh,273.4 miles (440.0 km),58.3 kWh,,,,,,,Battery weight: 373 Kg (822.32 lbs.)Average Energy consumption WLTP: 15.1-15.2 kWh/100 km (24.3 - 24.46 kWh/100 mi),,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW1.2L MHEV 6AT FWD (145 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,L3,1199 cm3,100 KW @ 5500 RPM136 HP @ 5500 RPM134 BHP @ 5500 RPM,170 lb-ft @ 1750 RPM230 Nm @ 1750 RPM,Turbocharged Direct Injection,Mild Hybrid,13.7 gallons (51.9 L),,,,,,,,,,,,,,,,,,,,,,,,,20.6 kw (28 hp),37.6 lb-ft (51 Nm),106.6 kw (145 hp),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEUGEOT,PEUGEOT 308 SW,"2025 Peugeot 308 SW Photos, engines & full specs",PEUGEOT 308 SW1.2L MHEV 6AT FWD (145 HP),https://www.autoevolution.com/cars/peugeot-308-sw-2025.html,,,,,,,,130 mph (209 km/h),,,,,,,,,,,,,,9 s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
