Brand,Model,Year,Created On,Modified On
Tesla,Model S AWD - 75D,2017,2017-01-11,2022-02-02
Tesla,Model S 75kWh,2018,2018-01-11,2022-02-02
Tesla,Model S (60 kW-hr battery pack),2013,2013-01-01,2022-02-02
Tesla,Model S,2022,2021-12-20,2022-01-04
Tesla,Model X Performance (22in Wheels),2020,2019-11-05,2022-02-02
Tesla,Model X Performance (22in Wheels),2019,2019-06-11,2022-02-02
Tesla,Model S Plaid (21 inch wheels),2022,2021-12-20,2022-10-26
Tesla,Model 3 Standard Range,2019,2019-05-02,2023-10-19
Tesla,Model 3 Standard Range Plus RWD,2021,2021-03-24,2023-10-19
Tesla,Model S AWD - 90D,2016,2016-01-28,2016-09-26
Tesla,Model S (85 kW-hr battery pack),2014,2014-03-10,2022-02-02
Tesla,Model X Plaid (20 inch wheels),2022,2021-12-20,2022-10-26
Tesla,Model S AWD - P90D,2016,2016-01-28,2016-09-26
Tesla,Model 3 Standard Range Plus,2019,2019-05-02,2022-02-02
Tesla,Model S (90 kW-hr battery pack),2015,2016-01-21,2022-02-02
Tesla,Model 3 Long Range  AWD Performance,2018,2018-07-12,2022-02-02
Tesla,Model S (60 kW-hr battery pack),2016,2016-09-13,2016-09-26
Tesla,Model Y AWD,2022,2022-03-11,2023-10-19
Tesla,Model 3 Performance AWD,2021,2020-10-26,2023-10-19
Tesla,Model S,2012,2013-01-01,2022-02-02
Tesla,Model 3 Long Range AWD,2024,2024-05-02,2024-05-08
Tesla,Model S AWD - P100D,2017,2017-01-11,2022-02-02
Tesla,Model X Long Range,2020,2019-11-05,2022-02-02
Tesla,Model X AWD - P90D,2016,2015-09-25,2016-09-26
Tesla,Model X AWD - P100D,2016,2016-12-12,2016-12-12
Tesla,Model 3 Long Range Performance AWD (20in),2020,2019-11-05,2022-02-02
Tesla,Model S Long Range,2020,2019-11-05,2022-02-02
Tesla,Model 3 Performance AWD,2023,2022-11-08,2023-10-19
Tesla,Model Y Long Range AWD,2020,2020-08-11,2023-10-19
Tesla,Model S AWD - 85D,2015,2015-01-22,2022-02-02
Tesla,Model X 75D,2018,2018-01-11,2022-02-02
Tesla,Model X Long Range Plus,2021,2020-10-26,2023-10-19
Tesla,Model X Plaid (22 inch wheels),2022,2021-12-20,2022-10-26
Tesla,Model S AWD - 75D,2016,2016-05-04,2016-09-26
Tesla,Model X Long Range Plus,2020,2020-10-26,2023-06-23
Tesla,Model 3 Long Range AWD Performance,2019,2019-01-29,2022-02-02
Tesla,Model S P100D,2019,2019-01-29,2022-02-02
Tesla,Model X 100D,2019,2019-01-29,2022-02-02
Tesla,Model Y Performance AWD (21in Wheels),2020,2020-07-27,2023-10-19
Tesla,Model 3 Standard Range Plus,2020,2019-11-05,2022-02-02
Tesla,Model S AWD - P90D,2017,2017-01-18,2022-02-02
Tesla,Model X 100D,2018,2018-01-11,2022-02-02
Tesla,Model X P100D,2019,2019-01-29,2022-02-02
Tesla,Model S AWD - 90D,2017,2017-03-02,2022-02-02
Tesla,Model Y Performance AWD,2023,2022-11-08,2023-10-19
Tesla,Model S AWD - 70D,2015,2015-04-06,2022-02-02
Tesla,Model X,2024,2024-05-02,2024-05-02
Tesla,Model X Performance (20in Wheels),2020,2019-11-05,2022-02-02
Tesla,Model 3 Mid Range,2019,2019-01-29,2022-02-02
Tesla,Model X Plaid (20in wheels),2024,2024-05-02,2024-05-02
Tesla,Model S Plaid (19 inch wheels),2022,2021-12-20,2022-10-26
Tesla,Model X AWD - 60D,2017,2017-01-11,2022-02-02
Tesla,Model S Performance (21in Wheels),2020,2019-11-05,2022-02-02
Tesla,Model S Long Range,2019,2019-05-02,2022-02-02
Tesla,Model S AWD - P100D,2016,2016-09-13,2016-09-26
Tesla,Model 3 Mid Range,2018,2018-11-19,2022-02-02
Tesla,Model S Performance (21in Wheels),2019,2019-05-02,2022-02-02
Tesla,Model Y Long Range AWD,2023,2022-11-08,2023-10-19
Tesla,Model 3 Long Range AWD,2022,2021-12-20,2023-10-19
Tesla,Model S P100D,2018,2018-01-11,2022-02-02
Tesla,Model S 100D,2018,2018-01-11,2022-02-02
Tesla,Model Y Long Range AWD,2021,2020-10-26,2023-10-19
Tesla,Model 3 RWD,2024,2024-05-02,2024-05-08
Tesla,Model X AWD - 60D,2016,2016-09-13,2016-09-26
Tesla,Model Y Long Range AWD,2024,2024-05-02,2024-05-02
Tesla,Model 3 Long Range,2017,2017-11-28,2018-01-11
Tesla,Model S Plaid (21in wheels),2024,2024-05-02,2024-05-02
Tesla,Model S (85 kW-hr battery pack),2015,2015-01-06,2022-02-02
Tesla,Model S AWD - P90D,2015,2015-08-06,2022-02-02
Tesla,Model S 100D,2019,2019-01-29,2022-02-02
Tesla,Model S AWD - 60D,2017,2017-01-11,2022-02-02
Tesla,Model S Long Range,2021,2021-06-11,2023-10-19
Tesla,Model S AWD - P85D,2016,2016-01-28,2016-09-26
Tesla,Model 3 RWD,2022,2021-12-20,2023-10-19
Tesla,Model X AWD - P100D,2017,2017-01-11,2022-02-02
Tesla,Model S (75 kW-hr battery pack),2016,2016-05-04,2016-09-26
Tesla,Model 3 Long Range,2020,2019-11-05,2022-02-02
Tesla,Model S AWD (85 kW-hr battery pack),2014,2015-01-12,2022-02-02
Tesla,Model 3 Long Range AWD,2021,2020-10-26,2023-10-19
Tesla,Model 3 Mid Range,2020,2019-11-05,2022-02-02
Tesla,Model X Plaid (22 inch wheels),2023,2022-11-08,2022-11-30
Tesla,Model X Performance (20in Wheels),2021,2020-10-26,2023-10-19
Tesla,Model X AWD - 90D,2017,2017-01-11,2022-02-02
Tesla,Model S AWD - 100D,2017,2017-04-11,2022-02-02
Tesla,Model X Performance (22in Wheels),2021,2020-10-26,2023-10-19
Tesla,Model 3 Long Range AWD,2023,2022-11-08,2023-10-19
Tesla,Model 3 RWD,2023,2022-11-08,2023-10-19
Tesla,Model S Plaid (21inch wheels),2021,2021-06-16,2023-10-19
Tesla,Model Y Performance AWD,2020,2020-02-05,2023-10-19
Tesla,Model S (60 kW-hr battery pack),2017,2017-02-24,2022-02-02
Tesla,Model S Plaid (19in wheels),2024,2024-05-02,2024-05-02
Tesla,Model X,2022,2021-12-20,2022-01-04
Tesla,Model Y Performance AWD,2024,2024-05-02,2024-05-02
Tesla,Model S AWD - 85D,2016,2016-01-28,2016-09-26
Tesla,Model S 75D,2019,2019-01-29,2022-02-02
Tesla,Model S AWD - 60D,2016,2016-09-13,2016-09-26
Tesla,Model S Standard Range,2020,2019-11-05,2022-02-02
Tesla,Model S Performance (19in Wheels),2019,2019-05-02,2022-02-02
Tesla,Model 3 Long Range AWD,2019,2019-01-29,2022-02-02
Tesla,Model 3 Long Range  AWD,2018,2018-07-12,2022-02-02
Tesla,Model S (60 kW-hr battery pack),2015,2015-01-27,2022-02-02
Tesla,Model X Standard Range,2020,2019-11-05,2022-02-02
Tesla,Model S Performance (19in Wheels),2021,2020-11-18,2023-10-19
Tesla,Model Y Performance AWD,2022,2021-12-20,2023-10-19
Tesla,Model S Performance (21in Wheels),2021,2020-11-18,2023-10-19
Tesla,Model 3 Long Range,2018,2018-01-11,2022-02-02
Tesla,Model S (90 kW-hr battery pack),2016,2016-01-21,2016-09-26
Tesla,Model X Plaid (22in wheels),2024,2024-05-02,2024-05-02
Tesla,Model 3 Standard Range,2020,2019-11-05,2022-02-02
Tesla,Model S (60 kW-hr battery pack),2014,2014-03-10,2022-02-02
Tesla,Model X AWD - 100D,2017,2018-01-03,2018-08-24
Tesla,Model Y Standard Range RWD,2021,2021-04-06,2023-10-19
Tesla,Model S (75 kW-hr battery pack),2017,2017-02-24,2022-02-02
Tesla,Model S AWD - 90D,2015,2015-08-06,2022-02-02
Tesla,Model S (85 kW-hr battery pack),2016,2016-01-21,2016-09-26
Tesla,Model X AWD - 75D,2017,2017-01-11,2022-02-02
Tesla,Model S Long Range Plus,2020,2020-06-24,2022-02-02
Tesla,Model X P100D,2018,2018-01-11,2022-02-02
Tesla,Model S 75D,2018,2018-01-11,2022-02-02
Tesla,Model X 75D,2019,2019-01-29,2022-02-02
Tesla,Model Y Long Range AWD,2022,2021-12-20,2023-10-19
Tesla,Model 3 Long Range AWD,2020,2019-11-05,2022-02-02
Tesla,Model S Performance (19in Wheels),2020,2019-11-05,2022-02-02
Tesla,Model X Long Range,2019,2019-06-11,2022-02-02
Tesla,Model S (40 kW-hr battery pack),2013,2013-01-01,2022-02-02
Tesla,Model S AWD - P85D,2015,2015-01-22,2022-02-02
Tesla,Model S AWD - 70D,2016,2016-01-28,2016-09-26
Tesla,Model S Standard Range,2019,2019-06-11,2022-02-02
Tesla,Model S,2024,2024-05-02,2024-05-02
Tesla,Model S,2023,2022-11-08,2022-11-30
Tesla,Model Y RWD,2022,2021-12-20,2023-10-19
Tesla,Model X Plaid (20 inch wheels),2023,2022-11-08,2022-11-30
Tesla,Model S (85 kW-hr battery pack),2013,2013-01-01,2022-02-02
Tesla,Model Y AWD,2023,2022-11-08,2023-10-19
Tesla,Model X AWD - 90D,2016,2015-09-25,2016-09-26
Tesla,Model 3 Performance AWD,2022,2021-12-20,2023-10-19
Tesla,Model Y Performance AWD,2021,2020-10-26,2023-10-19
Tesla,Model S (70 kW-hr battery pack),2016,2016-01-21,2016-09-26
Tesla,Model X,2023,2022-11-08,2022-11-30
Tesla,Model X AWD - 75D,2016,2016-05-04,2016-09-26
Tesla,Model 3 Long Range,2019,2019-01-29,2022-02-02
Tesla,Model 3 Long Range Performance AWD (18in),2020,2019-11-05,2022-02-02
Tesla,Model X AWD - P90D,2017,2017-01-11,2022-02-02
Tesla,Model 3 Long Range Performance AWD (19in),2020,2019-11-05,2022-02-02
