Brand,Model,Year,Created On,Modified On
Volvo,C70 Convertible,2000,2013-01-01,2013-01-01
Volvo,C70 Coupe,2000,2013-01-01,2013-01-01
Volvo,240 Wagon,1990,2013-01-01,2013-01-01
Volvo,S80/S80 Executive,2003,2013-01-01,2013-01-01
Volvo,S40 FWD,2006,2013-01-01,2013-01-01
Volvo,S60 AWD,2018,2017-06-12,2018-02-06
Volvo,V70 FWD,2007,2013-01-01,2013-01-01
Volvo,C70 Convertible,1999,2013-01-01,2013-01-01
Volvo,S60 AWD,2021,2020-09-24,2021-04-26
Volvo,S90 AWD PHEV,2021,2020-08-24,2023-06-23
Volvo,XC90 AWD,2010,2013-01-01,2017-01-18
Volvo,S80 AWD,2014,2013-01-01,2016-09-26
Volvo,XC40 B5 AWD,2023,2022-07-13,2023-06-01
Volvo,S80/S80 Premier,2004,2013-01-01,2013-01-01
Volvo,S60 FWD,2007,2013-01-01,2013-01-01
Volvo,S60 AWD,2008,2013-01-01,2013-01-01
Volvo,740/760,1985,2013-01-01,2013-01-01
Volvo,240,1991,2013-01-01,2013-01-01
Volvo,V70 AWD,1999,2013-01-01,2013-01-01
Volvo,C70 Convertible,2000,2013-01-01,2013-01-01
Volvo,Coupe,1991,2013-01-01,2013-01-01
Volvo,XC60 B5,2023,2022-07-13,2023-06-01
Volvo,C70 Convertible,1998,2013-01-01,2013-01-01
Volvo,S60 B5,2024,2023-06-23,2024-04-30
Volvo,XC70 AWD,2012,2013-01-01,2016-09-26
Volvo,240 DL/GL/Turbo,1984,2013-01-01,2013-01-01
Volvo,240 Wagon,1990,2013-01-01,2013-01-01
Volvo,V70 XC AWD,2001,2013-01-01,2013-01-01
Volvo,740/760 Wagon,1988,2013-01-01,2013-01-01
Volvo,XC60 FWD,2015,2014-04-07,2016-09-26
Volvo,240 DL/240 GL Wagon,1987,2013-01-01,2013-01-01
Volvo,V70 AWD,1999,2013-01-01,2013-01-01
Volvo,240,1992,2013-01-01,2013-01-01
Volvo,XC40 FWD,2020,2019-06-11,2019-11-08
Volvo,XC70 AWD,2014,2013-01-01,2016-09-26
Volvo,C70,1998,2013-01-01,2013-01-01
Volvo,V70 FWD,2002,2013-01-01,2013-01-01
Volvo,V70 FWD,1998,2013-01-01,2013-01-01
Volvo,240,1990,2013-01-01,2013-01-01
Volvo,V70 FWD,2003,2013-01-01,2013-01-01
Volvo,S80/S80 Executive,2001,2013-01-01,2013-01-01
Volvo,S40 FWD,2008,2013-01-01,2013-01-01
Volvo,V60 CC AWD,2015,2015-01-06,2016-09-26
Volvo,S60 FWD,2019,2018-06-13,2018-09-21
